num,ether,bitcoin,ripple,date
25,2.5,390.66,0.005127,1/25/2016
26,2.3,391.43,0.00536,1/26/2016
27,2.42,394.63,0.00536,1/27/2016
28,2.55,379.38,0.006234,1/28/2016
29,2.41,378.2,0.006887,1/29/2016
30,2.44,376.94,0.006632,1/30/2016
31,2.2,367.13,0.006405,1/31/2016
32,2.17,371.25,0.006551,2/1/2016
33,2.45,372.88,0.00677,2/2/2016
34,2.53,368.93,0.006881,2/3/2016
35,2.57,388.61,0.006977,2/4/2016
36,2.56,385.34,0.007265,2/5/2016
37,2.53,375.4,0.007893,2/6/2016
38,3,375.28,0.008349,2/7/2016
39,3.16,371.1,0.007991,2/8/2016
40,3.76,373.32,0.007778,2/9/2016
41,4.35,379.96,0.00787,2/10/2016
42,6.38,377.72,0.00781,2/11/2016
43,5.22,383.13,0.007941,2/13/2016
44,5.27,392.18,0.008274,2/12/2016
45,5.2,406.74,0.008542,2/14/2016
46,5.22,399.48,0.008617,2/15/2016
47,4.25,407.36,0.008452,2/16/2016
48,3.86,415.56,0.008159,2/17/2016
49,4.36,421.64,0.007989,2/18/2016
50,4.45,420.33,0.008247,2/19/2016
51,4.37,436.52,0.008295,2/20/2016
52,4.63,438.98,0.008098,2/21/2016
53,5.6,438.07,0.008057,2/22/2016
54,5.7,419.98,0.00797,2/23/2016
55,6.23,424.36,0.008069,2/24/2016
56,5.93,423.52,0.008027,2/25/2016
57,6.03,432.06,0.008049,2/26/2016
58,6.31,432.14,0.007974,2/27/2016
59,6.5,432.64,0.007887,2/28/2016
60,6.35,436.61,0.00793,2/29/2016
61,7.59,433.64,0.007975,3/1/2016
62,8.7,421.6,0.008028,3/2/2016
63,9.35,419.47,0.008048,3/3/2016
64,9.96,407.98,0.008136,3/4/2016
65,11,397.83,0.007929,3/5/2016
66,10.98,404.55,0.007859,3/6/2016
67,9.5,412.98,0.007922,3/7/2016
68,9.88,411.76,0.007955,3/8/2016
69,11.55,412.62,0.00805,3/9/2016
70,11.11,416.16,0.008188,3/10/2016
71,11.25,419.89,0.008808,3/11/2016
72,13.25,410.13,0.008676,3/12/2016
73,15,412.29,0.008594,3/13/2016
74,12.5,415.09,0.008488,3/14/2016
75,13.09,415.38,0.008175,3/15/2016
76,12.92,416.25,0.008207,3/16/2016
77,11.14,418.45,0.008283,3/17/2016
78,10.75,408.04,0.008106,3/18/2016
79,10.55,408.52,0.008018,3/19/2016
80,10.06,410.75,0.007964,3/20/2016
81,11.97,411.42,0.008043,3/21/2016
82,10.96,416.93,0.008109,3/22/2016
83,12.29,417.39,0.00833,3/23/2016
84,11.13,414.34,0.008231,3/24/2016
85,10.69,415.69,0.008192,3/25/2016
86,11,416.73,0.008053,3/26/2016
87,10.5,425.38,0.008029,3/27/2016
88,11.58,422.76,0.007561,3/28/2016
89,11.73,415.55,0.007563,3/29/2016
90,11.88,412.69,0.00733,3/30/2016
91,11.41,415.16,0.007389,3/31/2016
92,11.63,417.01,0.007421,4/1/2016
93,11.61,419.69,0.007498,4/2/2016
94,11.58,419.38,0.007506,4/3/2016
95,11.1,419.42,0.007494,4/4/2016
96,10.39,422.65,0.007474,4/5/2016
97,10.79,421.7,0.007302,4/6/2016
98,10.08,421.2,0.006877,4/7/2016
99,9.74,418.09,0.006671,4/8/2016
100,9.16,418.42,0.006292,4/9/2016
101,8.8,421.11,0.005927,4/10/2016
102,8.72,422.99,0.006068,4/11/2016
103,7.53,425.99,0.005877,4/12/2016
104,8.02,424.4,0.005707,4/13/2016
105,8.48,425.11,0.006315,4/14/2016
106,8.22,429.98,0.006373,4/15/2016
107,8.48,430.84,0.006489,4/16/2016
108,9.45,427.86,0.0065,4/17/2016
109,8.92,429.05,0.006984,4/18/2016
110,8.77,436.1,0.00713,4/19/2016
111,8.54,442.16,0.007245,4/20/2016
112,8.15,451.1,0.007475,4/21/2016
113,7.83,447.64,0.00728,4/22/2016
114,8.31,452.58,0.007347,4/23/2016
115,8,460.33,0.007254,4/24/2016
116,7.43,462.51,0.007277,4/25/2016
117,7.5,467.8,0.007117,4/26/2016
118,7.77,445.01,0.006743,4/27/2016
119,7.3,449.86,0.006689,4/28/2016
120,7.51,456.35,0.006758,4/29/2016
121,8.83,449.33,0.006813,4/30/2016
122,8.76,453.04,0.006796,5/1/2016
